id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit
26197,1999-2000,Bihar,10,Purnia,214,Jute,1102.0,Fiber Crops,Kharif,33278.0,Hectare,242560.0,Tonnes,7.289,Tonnes/Hectare
26198,1999-2000,Bihar,10,Purnia,214,Khesari,521.0,Spices,Rabi,2148.0,Hectare,1858.0,Tonnes,0.865,Tonnes/Hectare
26199,1999-2000,Bihar,10,Purnia,214,Linseed,1005.0,Oilseeds,Rabi,1606.0,Hectare,993.0,Tonnes,0.618,Tonnes/Hectare
26200,1999-2000,Bihar,10,Purnia,214,Maize,104.0,Cereals,Kharif,7394.0,Hectare,12554.0,Tonnes,1.698,Tonnes/Hectare
26201,1999-2000,Bihar,10,Purnia,214,Maize,104.0,Cereals,Rabi,9211.0,Hectare,31944.0,Tonnes,3.468,Tonnes/Hectare
26202,1999-2000,Bihar,10,Purnia,214,Maize,104.0,Cereals,Summer,15101.0,Hectare,30160.0,Tonnes,1.997,Tonnes/Hectare
26203,1999-2000,Bihar,10,Purnia,214,Maize,104.0,Cereals,Total,31706.0,Hectare,74658.0,Tonnes,2.355,Tonnes/Hectare
26204,1999-2000,Bihar,10,Purnia,214,Masoor,205.0,Pulses,Rabi,2386.0,Hectare,1109.0,Tonnes,0.465,Tonnes/Hectare
26205,1999-2000,Bihar,10,Purnia,214,Mesta,1103.0,Fiber Crops,Kharif,9878.0,Hectare,62067.0,Tonnes,6.283,Tonnes/Hectare
26206,1999-2000,Bihar,10,Purnia,214,Moong(Green Gram),204.0,Pulses,Kharif,3164.0,Hectare,1631.0,Tonnes,0.515,Tonnes/Hectare
26207,1999-2000,Bihar,10,Purnia,214,Moong(Green Gram),204.0,Pulses,Rabi,7728.0,Hectare,4258.0,Tonnes,0.551,Tonnes/Hectare
26208,1999-2000,Bihar,10,Purnia,214,Moong(Green Gram),204.0,Pulses,Total,10892.0,Hectare,5889.0,Tonnes,0.541,Tonnes/Hectare
26209,1999-2000,Bihar,10,Purnia,214,Onion,708.0,Vegetable,Whole Year,430.0,Hectare,3264.0,Tonnes,7.591,Tonnes/Hectare
26210,1999-2000,Bihar,10,Purnia,214,Peas & Beans (Pulses),213.0,Pulses,Rabi,295.0,Hectare,211.0,Tonnes,0.715,Tonnes/Hectare
26211,1999-2000,Bihar,10,Purnia,214,Potato,701.0,Vegetable,Whole Year,11658.0,Hectare,95441.0,Tonnes,8.187,Tonnes/Hectare
26212,1999-2000,Bihar,10,Purnia,214,Ragi,105.0,Cereals,Kharif,172.0,Hectare,119.0,Tonnes,0.692,Tonnes/Hectare
26213,1999-2000,Bihar,10,Purnia,214,Rapeseed &Mustard,1004.0,Oilseeds,Rabi,3491.0,Hectare,1903.0,Tonnes,0.545,Tonnes/Hectare
26214,1999-2000,Bihar,10,Purnia,214,Rice,101.0,Cereals,Kharif,21361.0,Hectare,17118.0,Tonnes,0.801,Tonnes/Hectare
26215,1999-2000,Bihar,10,Purnia,214,Rice,101.0,Cereals,Summer,16966.0,Hectare,34911.0,Tonnes,2.058,Tonnes/Hectare
26216,1999-2000,Bihar,10,Purnia,214,Rice,101.0,Cereals,Total,38327.0,Hectare,52029.0,Tonnes,1.358,Tonnes/Hectare
26217,1999-2000,Bihar,10,Purnia,214,Sesamum,1003.0,Oilseeds,Kharif,54.0,Hectare,25.0,Tonnes,0.463,Tonnes/Hectare
26218,1999-2000,Bihar,10,Purnia,214,Sugarcane,401.0,Sugar,Whole Year,7.0,Hectare,177.0,Tonnes,25.286,Tonnes/Hectare
26219,1999-2000,Bihar,10,Purnia,214,Sunflower,1007.0,Oilseeds,Kharif,4868.0,Hectare,2518.0,Tonnes,0.517,Tonnes/Hectare
26220,1999-2000,Bihar,10,Purnia,214,Sweet Potato,703.0,Vegetable,Whole Year,97.0,Hectare,1322.0,Tonnes,13.629,Tonnes/Hectare
